SKU,PRICE,FIRST_MINIMUM_PRICE,SECOND_MINIMUM_PRICE
11559,145.0,139.0,145.0
11560,2176.0,1895.0,2176.0
11561,7528.89,6319.0,7528.89
11562,2530.0,2525.0,2530.0
11563,2395.0,2300.0,2395.0
11564,3400.0,3200.0,3400.0
11565,135.0,133.13,135.0
11566,165.0,139.0,165.0
11567,132.0,119.0,132.0
11568,177.0,99.0,177.0
11570,245.0,245.0,245.0
11571,190.0,190.0,190.0
11572,88.0,73.0,88.0
11573,88.0,73.0,88.0
11574,228.0,224.95,228.0
11575,151.0,142.0,151.0
11576,152.0,150.0,152.0
11577,162.0,129.0,162.0
11578,129.0,120.0,129.0
11579,129.0,114.95,129.0
11580,155.0,152.0,155.0
11581,137.0,74.98,137.0
11582,149.99,105.0,149.99
11583,209.0,209.0,209.0
11584,209.0,129.99,209.0
11585,81.95,75.0,81.95
11586,145.0,139.0,145.0
11587,130.0,129.0,130.0
11588,249.0,236.0,249.0
11589,155.0,155.0,155.0
11590,144304.0,139829.0,144304.0
11592,163.0,158.0,163.0
11593,395.0,389.0,395.0
11594,329.0,325.0,329.0
11595,184.94,99.0,184.94
11596,196.0,194.94,196.0
11597,219.95,202.0,219.95
11598,175.0,169.0,175.0
11599,185.0,145.0,185.0
11600,247.0,240.0,247.0
11601,219.65,182.0,219.65
11603,247.0,135.0,247.0
11604,449.99,395.0,449.99
11605,499.99,430.0,499.99
11606,191.0,158.0,191.0
11607,329.99,239.0,329.99
11608,506.0,333.33,506.0
11609,473.99,455.0,473.99
11610,475.0,470.0,475.0
11611,990.0,152.0,990.0
11612,274.97,145.0,274.97
11613,166.0,149.99,166.0
11614,180.0,109.0,180.0
11615,274.94,259.99,274.94
11616,459.98,455.0,459.98
11618,316.0,299.95,316.0
11619,350.0,221.0,350.0
11620,152.0,145.0,152.0
11621,229.0,215.0,229.0
11622,499.0,485.0,499.0
11624,525.0,500.0,525.0
11625,949.0,750.0,949.0
