SKU,PRICE
11331,329.0
11332,175.0
11333,304.0
11333,359.99
11333,379.0
11333,379.98
11333,799.99
11333,1849.0
11334,329.0
11334,339.0
11334,348.0
11334,348.0
11334,358.95
11334,379.0
11334,700.0
11334,4175.0
11335,304.0
11335,315.0
11335,449.97
11335,459.99
11335,3775.0
11336,334.0
11336,364.99
11336,379.99
11336,395.0
11336,420.0
11336,455.0
11336,455.0
11336,489.97
11336,489.99
11336,910.0
11336,2725.0
11337,334.0
11337,364.99
11337,379.99
11337,395.0
11337,420.0
11337,455.0
11337,455.0
11337,489.97
11337,489.99
11337,910.0
11337,2725.0
11338,156.0
11338,278.0
11338,475.0
11339,266.0
11340,949.0
11340,3500.0
11341,699.0
11342,349.0
11342,499.0
11342,549.0
11342,607.0
11342,1022.0
11342,1500.0
11343,228.0
11343,289.99
11343,295.0
11343,299.99
11344,95.0
11344,115.0
11344,145.0
11344,179.0
11345,626.0
11345,699.99
11345,750.0
11345,2499.0
11345,3618.99
11345,3864.0
11346,499.97
11346,1099.0
11347,158.0
11347,1200.0
11347,1246.99
11348,255.0
11348,325.55
11348,377.0
11348,470.0
11348,4092.99
11348,4380.0
11349,239.0
11349,249.0
11349,305.0
11349,380.0
11349,470.0
11349,2586.0
11349,5232.0
11350,225.0
11350,232.89
11350,258.0
11350,294.0
11350,373.0
11350,395.0
11350,456.89
11350,946.89
11350,1499.0
11351,449.98
11351,475.0
11351,655.0
11351,750.0
11351,1022.34
11351,4062.0
11352,320.0
11352,411.0
11353,349.95
11353,375.0
11353,430.0
11353,430.0
11353,473.0
11353,510.0
11353,2000.0
11353,2614.99
11353,2760.0
11354,325.0
11354,390.0
11354,390.0
11354,689.97
11355,390.0
11355,390.0
11355,399.99
11355,409.0
11355,409.99
11355,435.0
11355,599.88
11355,4656.99
11355,4675.0
11356,250.0
11356,259.99
11356,279.99
11356,283.5
11356,295.0
11356,295.95
11356,297.0
11356,299.99
11356,335.0
11356,339.98
11356,349.95
11356,349.95
11356,396.74
11356,450.0
11356,567.0
11357,383.0
11357,385.0
11357,392.0
11357,399.95
11357,399.97
11357,399.97
11357,399.98
11357,399.99
11357,399.99
11357,399.99
11357,432.95
11357,450.0
11357,475.0
11357,478.84
11357,489.99
11357,490.0
11357,889.99
11358,499.0
11358,650.0
11358,675.0
11358,675.0
11358,695.0
11358,799.0
11358,819.0
11358,999.99
11358,1250.0
11358,1259.0
11358,1259.89
11359,119.0
11359,127.0
11359,165.0
11359,198.34
11359,1605.005
11360,139.0
11360,140.0
11360,145.0
11360,145.0
11360,149.0
11360,160.0
11360,169.97
11360,181.65
11360,182.0
11360,254.97
11360,399.0
11360,599.0
11361,79.99
11361,127.0
11361,165.0
11361,300.0
11362,132.0
11362,175.0
11362,195.0
11362,224.75
11363,96.95
11363,129.94
11363,135.0
11363,139.0
11363,139.95
11363,148.0
11363,149.0
11363,159.99
11363,159.99
11363,173.5
11363,175.0
11363,186.84
11363,188.99
11363,189.99
11363,225.0
11363,280.97
11363,802.95
11363,850.0
11364,120.0
11364,139.0
11364,145.0
11364,149.0
11364,161.0
11364,169.0
11364,1944.0
11365,425.0
11365,475.0
11365,538.0
11366,425.0
11366,475.0
11366,538.0
11367,350.0
